what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1332354198161
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1332354198169
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1332354198170
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1332354198177
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1332354198183
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1332354198188
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1332354198199
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1332354198206
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1332354198211
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1332354198211
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1332354198215
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1332354198227
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1332354198235
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1332354198235
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1332354198242
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1332354198247
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1332354198254
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1332354198260
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1332354198263
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1332354198272
os,sysinfo,,,"linux",1332354198274
arch,sysinfo,,,"x86",1332354198274
ws,sysinfo,,,"gtk",1332354198274
locale,sysinfo,,,"en_US",1332354198274
processors,sysinfo,,,"4",1332354198274
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1332354198274
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1332354198274
java.specification.name,sysinfo,,,"Java Platform API Specification",1332354198274
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332354198274
java.specification.version,sysinfo,,,"1.6",1332354198274
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1332354198274
java.version,sysinfo,,,"1.6.0_20",1332354198274
java.vm.info,sysinfo,,,"mixed mode, sharing",1332354198274
java.vm.name,sysinfo,,,"OpenJDK Client VM",1332354198274
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332354198274
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332354198274
java.vm.specification.version,sysinfo,,,"1.0",1332354198274
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1332354198274
java.vm.version,sysinfo,,,"19.0-b09",1332354198274
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1332354199340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332354200542
